timestamp_ns,symbol,side,type,price,quantity,action,order_id
1000000000,AAPL,B,L,150.00,100,N,1
1000001500,AAPL,S,L,150.05,80,N,2
1000002200,AAPL,B,L,150.05,50,N,3
1000003100,AAPL,B,L,149.95,200,N,4
1000004000,AAPL,S,L,150.10,300,N,5
1000005000,AAPL,,,,,C,2
1000006000,AAPL,S,L,150.00,75,N,6
1000007200,AAPL,B,L,150.00,150,N,7
1000008100,AAPL,S,M,0,40,N,8
1000009000,AAPL,B,L,149.90,500,N,9
1000010500,AAPL,S,L,149.95,250,N,10
1000011700,AAPL,B,I,150.00,1000,N,11
1000012900,AAPL,S,L,150.20,400,N,12
1000013500,AAPL,B,L,150.15,200,N,13
1000014800,AAPL,,,,,C,5
1000016000,AAPL,B,L,150.10,100,N,14
1000017500,AAPL,S,L,150.10,300,N,15
1000019000,AAPL,B,L,150.10,150,N,16
1000020800,AAPL,S,L,150.05,200,N,17
1000022000,AAPL,B,M,0,80,N,18
1000023700,AAPL,S,L,150.15,500,N,19
1000025100,AAPL,B,L,150.00,1200,N,20
1000026900,AAPL,S,L,150.20,800,N,21
1000028500,AAPL,B,L,150.18,300,N,22
1000030200,AAPL,,,,,C,9
1000031800,AAPL,B,L,150.05,400,N,23
1000033500,AAPL,S,L,150.05,200,N,24
1000035100,AAPL,B,L,149.98,600,N,25
1000037000,AAPL,S,L,149.99,400,N,26
1000039200,AAPL,B,M,0,150,N,27
1000041500,AAPL,S,L,150.25,1000,N,28
1000043800,AAPL,B,L,150.20,500,N,29
1000045900,AAPL,S,L,150.10,700,N,30
1000048000,AAPL,B,L,150.08,1500,N,31
1000050500,AAPL,,,,,C,19
1000052700,MSFT,B,L,420.00,200,N,32
1000054200,MSFT,S,L,420.10,150,N,33
1000056100,MSFT,B,L,420.10,100,N,34
1000058300,MSFT,B,L,419.90,500,N,35
1000060500,MSFT,S,L,420.20,800,N,36
1000062800,AAPL,B,L,150.06,250,N,37
1000064900,AAPL,S,L,150.06,250,N,38
1000067200,MSFT,B,L,420.10,300,N,39
1000069400,MSFT,S,M,0,120,N,40
1000071800,AAPL,B,L,150.15,800,N,41
1000074100,AAPL,S,L,150.15,500,N,42
1000076500,AAPL,S,L,150.18,600,N,43
1000079000,AAPL,B,I,150.20,2000,N,44
1000081500,AAPL,S,L,150.30,1500,N,45
1000084200,MSFT,B,L,420.15,400,N,46
1000086900,MSFT,S,L,420.15,400,N,47
