Value,Percentile,TotalCount,1/(1-Percentile)
0.000,0.000000,707679,1.00
0.000,0.100000,707679,1.11
41.000,0.200000,1080817,1.25
42.000,0.300000,1828268,1.43
83.000,0.400000,3175495,1.67
83.000,0.500000,3175495,2.00
83.000,0.550000,3175495,2.22
83.000,0.600000,3175495,2.50
84.000,0.650000,3847355,2.86
84.000,0.700000,3847355,3.33
84.000,0.750000,3847355,4.00
125.000,0.775000,4457789,4.44
125.000,0.800000,4457789,5.00
125.000,0.825000,4457789,5.71
125.000,0.850000,4457789,6.67
125.000,0.875000,4457789,8.00
125.000,0.887500,4457789,8.89
333.000,0.900000,4501370,10.00
416.000,0.912500,4597241,11.43
417.000,0.925000,4704000,13.33
417.000,0.937500,4704000,16.00
458.000,0.943750,4833516,17.78
458.000,0.950000,4833516,20.00
458.000,0.956250,4833516,22.86
458.000,0.962500,4833516,26.67
459.000,0.968750,4897811,32.00
459.000,0.971875,4897811,35.56
459.000,0.975000,4897811,40.00
459.000,0.978125,4897811,45.71
500.000,0.981250,4979945,53.33
500.000,0.984375,4979945,64.00
500.000,0.985938,4979945,71.11
500.000,0.987500,4979945,80.00
500.000,0.989062,4979945,91.43
500.000,0.990625,4979945,106.67
500.000,0.992188,4979945,128.00
500.000,0.992969,4979945,142.22
500.000,0.993750,4979945,160.00
500.000,0.994531,4979945,182.86
500.000,0.995313,4979945,213.33
541.000,0.996094,4984953,256.00
541.000,0.996484,4984953,284.44
541.000,0.996875,4984953,320.00
542.000,0.997266,4994833,365.71
542.000,0.997656,4994833,426.67
542.000,0.998047,4994833,512.00
542.000,0.998242,4994833,568.89
542.000,0.998437,4994833,640.00
542.000,0.998633,4994833,731.43
542.000,0.998828,4994833,853.33
583.000,0.999023,4996915,1024.00
583.000,0.999121,4996915,1137.78
583.000,0.999219,4996915,1280.00
583.000,0.999316,4996915,1462.86
584.000,0.999414,4997951,1706.67
584.000,0.999512,4997951,2048.00
584.000,0.999561,4997951,2275.56
625.000,0.999609,4999017,2560.00
625.000,0.999658,4999017,2925.71
625.000,0.999707,4999017,3413.33
625.000,0.999756,4999017,4096.00
625.000,0.999780,4999017,4551.11
666.000,0.999805,4999135,5120.00
667.000,0.999829,4999356,5851.43
667.000,0.999854,4999356,6826.67
708.000,0.999878,4999427,8192.00
709.000,0.999890,4999464,9102.22
750.000,0.999902,4999552,10240.00
792.000,0.999915,4999591,11702.86
875.000,0.999927,4999655,13653.33
1000.000,0.999939,4999700,16384.00
1084.000,0.999945,4999727,18204.44
1292.000,0.999951,4999758,20480.00
1750.000,0.999957,4999789,23405.71
2375.000,0.999963,4999817,27306.67
4835.000,0.999969,4999848,32768.00
5335.000,0.999973,4999863,36408.89
5711.000,0.999976,4999880,40960.00
6127.000,0.999979,4999895,46811.43
6751.000,0.999982,4999909,54613.33
7711.000,0.999985,4999924,65536.00
8043.000,0.999986,4999932,72817.78
8463.000,0.999988,4999940,81920.00
9047.000,0.999989,4999947,93622.86
9255.000,0.999991,4999956,109226.67
9631.000,0.999992,4999962,131072.00
10047.000,0.999993,4999967,145635.56
10215.000,0.999994,4999970,163840.00
10711.000,0.999995,4999974,187245.71
10959.000,0.999995,4999978,218453.33
11543.000,0.999996,4999981,262144.00
11631.000,0.999997,4999983,291271.11
11879.000,0.999997,4999985,327680.00
12047.000,0.999997,4999987,374491.43
12503.000,0.999998,4999989,436906.67
13007.000,0.999998,4999991,524288.00
13671.000,0.999998,4999992,582542.22
14007.000,0.999998,4999993,655360.00
14543.000,0.999999,4999994,748982.86
16543.000,0.999999,4999995,873813.33
18799.000,0.999999,4999996,1048576.00
18799.000,0.999999,4999996,1165084.44
42559.000,0.999999,4999997,1310720.00
42559.000,0.999999,4999997,1497965.71
85759.000,0.999999,4999998,1747626.67
85759.000,1.000000,4999998,2097152.00
85759.000,1.000000,4999998,2330168.89
185215.000,1.000000,4999999,2621440.00
185215.000,1.000000,4999999,2995931.43
185215.000,1.000000,4999999,3495253.33
185215.000,1.000000,4999999,4194304.00
185215.000,1.000000,4999999,4660337.78
276991.000,1.000000,5000000,5242880.00
276991.000,1.000000,5000000,inf
